model_id,description,split,accuracy_mean,accuracy_std,auc_mean,auc_std,f1_mean,f1_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,ece_mean,ece_std,threshold_mean,threshold_std
A5_conv1d_bilstm,Conv1D-BiLSTM-Attn,val,0.82,0.029962940072325615,0.8911381016644173,0.01086162525204645,0.8034802754670322,0.054500955392271073,0.784508547008547,0.05338578039101998,0.8527777777777776,0.05702326531258266,0.15378631257514158,0.02828776065507822,0.5,0.0
A5_conv1d_bilstm,Conv1D-BiLSTM-Attn,test,0.7066666666666667,0.02309401076758506,0.8365946918578497,0.02882943335943899,0.6975539157379025,0.05894513620693032,0.7361111111111112,0.08539125638299665,0.6794871794871794,0.0656229943183063,0.17563438819845517,0.025755024596668737,0.5,0.0
A5_kinematic_cnn,Kinematic CNN-LSTM,val,0.85,0.03696845502136466,0.9050213675213676,0.01494924998931034,0.8522219009787756,0.03193807719545525,0.8742521367521368,0.047194054135115716,0.8204059829059828,0.06786829016876535,0.12248854760158186,0.02637773695044636,0.5,0.0
A5_kinematic_cnn,Kinematic CNN-LSTM,test,0.7333333333333335,0.023475755815545375,0.8073717948717949,0.017675409474192043,0.7260807041865223,0.023191940167913188,0.7375,0.039747466725706095,0.7294871794871793,0.05094440124693723,0.19178364440007134,0.027998653741123647,0.5,0.0
A5_stts,STTS,val,0.5880000000000001,0.07773459118479152,0.7606837606837606,0.021895193944358064,0.4158127459069568,0.169423111328741,0.43119658119658116,0.18219693423095445,0.7423076923076922,0.18428220568390807,0.09405788081139325,0.05912153650881853,0.5,0.0
A5_stts,STTS,test,0.5680000000000001,0.059089386149760885,0.7120726495726496,0.03769339179982503,0.3618810036892119,0.1539294565719041,0.39166666666666666,0.17999914265913794,0.7307692307692307,0.18140006313665635,0.08030434801491597,0.047303512540558736,0.5,0.0
A5_msg3d,MS-G3D,val,0.6173333333333334,0.06614462269233314,0.7185363247863249,0.06761012217566086,0.5698597946404964,0.09331080174475638,0.614957264957265,0.10292981451621093,0.6048076923076923,0.18687907023242148,0.09146254441638788,0.05392945996215414,0.5,0.0
A5_msg3d,MS-G3D,test,0.5153333333333334,0.03406529677610993,0.5357905982905984,0.05230080065348469,0.4211537732735132,0.08371183730776555,0.47222222222222215,0.15010284540118107,0.5551282051282052,0.1419028660938678,0.12112267988066498,0.057428210689030694,0.5,0.0
A5_msg3d_convnext,MS-G3D + ConvNeXt,val,0.7646666666666667,0.05453235532945348,0.8214743589743592,0.036050212899490876,0.7122478514011169,0.07879639174578879,0.6735042735042736,0.07572548281238793,0.8506410256410254,0.09118675801595717,0.12182809712054828,0.031698755437761676,0.5,0.0
A5_msg3d_convnext,MS-G3D + ConvNeXt,test,0.6699999999999999,0.045777238400274395,0.7161324786324786,0.06725942849703219,0.6079108806447024,0.08201311374556948,0.6027777777777777,0.11114582790968086,0.7320512820512821,0.08675424190111371,0.18073666486889123,0.03796723205205514,0.5,0.0
A5_skelformer,SkelFormer,val,0.6053333333333334,0.07744819056777391,0.719017094017094,0.044407275439542246,0.4256956100038094,0.2001177256482025,0.40438034188034183,0.19503979839096516,0.8108974358974358,0.13320126184101147,0.1131194079418977,0.07204295543993133,0.5,0.0
A5_skelformer,SkelFormer,test,0.5900000000000001,0.054792538015885184,0.6862535612535613,0.046050465009098034,0.3680003426562519,0.18597515118763616,0.35833333333333334,0.19541424818846173,0.8038461538461539,0.14374419349105258,0.08163388564003012,0.0559923540156944,0.5,0.0
A5_mtcformer,MTC-Former,val,0.8486666666666667,0.01647894279241103,0.9186431623931623,0.011135097998847302,0.8365425180520528,0.018485477487459313,0.8108974358974359,0.028885696227768765,0.8837606837606836,0.02521367521367517,0.12247762043479213,0.02421854221050523,0.5,0.0
A5_mtcformer,MTC-Former,test,0.7566666666666667,0.030073982849706596,0.8738247863247863,0.019165070586909208,0.7553026846486827,0.03387577149057559,0.7875,0.055049781062795594,0.7282051282051283,0.034781179400642376,0.17371081501245497,0.019715684376587578,0.5,0.0
A5_mtt,MTT,val,0.6600000000000001,0.06908931417616862,0.7543706293706294,0.051874440725961216,0.5255960675025456,0.17025378735677738,0.4726495726495726,0.15349348228873075,0.8487179487179487,0.09335088357582624,0.14060235843416136,0.059699728163316965,0.5,0.0
A5_mtt,MTT,test,0.5893333333333335,0.06884443009826981,0.6578282828282829,0.059355593604989855,0.41289425275998815,0.16712975934299584,0.3902777777777778,0.16350590845215787,0.7730769230769231,0.11979464128885448,0.12584638809283186,0.04538343366750795,0.5,0.0
A5_star,STAR,val,0.6833333333333333,0.04786555244757041,0.7527777777777778,0.028739911981878634,0.6196139756451234,0.08289557434545126,0.5724358974358974,0.10557134211858128,0.79017094017094,0.1289147030305783,0.14970526379346846,0.03884813010265618,0.5,0.0
A5_star,STAR,test,0.6233333333333334,0.045971005354824825,0.7493589743589745,0.05823619851721839,0.4698508907703479,0.09109307396418026,0.41527777777777775,0.12983697042402403,0.8153846153846154,0.12366313386448714,0.1186946689746498,0.052442475878536586,0.5,0.0
A5_lr,MediaPipe + LR,val,0.7466666666666666,1.1102230246251565e-16,0.8205128205128206,0.0,0.7024650068128329,1.1102230246251565e-16,0.6260683760683763,1.1102230246251565e-16,0.8632478632478632,0.0,0.21274180661624714,2.7755575615628914e-17,0.5,0.0
A5_lr,MediaPipe + LR,test,0.7200000000000002,1.1102230246251565e-16,0.861111111111111,0.0,0.685024154589372,1.1102230246251565e-16,0.6388888888888891,1.1102230246251565e-16,0.7948717948717949,1.1102230246251565e-16,0.20399978217359047,2.7755575615628914e-17,0.5,0.0
A5_svm,MediaPipe + SVM (RBF),val,0.8353333333333334,0.01477234653744019,0.8995192307692308,0.0002328471657874283,0.8311096083659801,0.011552332149179563,0.8286324786324787,0.013608276348795495,0.8377136752136751,0.03596779708984872,0.2063905091040276,0.014627601385057743,0.5,0.0
A5_svm,MediaPipe + SVM (RBF),test,0.6953333333333334,0.008717797887081331,0.7632478632478632,0.0005233952441844378,0.6937692307692309,0.011840334160810938,0.7208333333333332,0.024016133980264753,0.6717948717948717,0.015384615384615417,0.1410677415280864,0.016995748393455058,0.5,0.0
A5_rf,MediaPipe + RF,val,0.7726666666666668,0.014282856857085715,0.8713675213675213,0.009061693486598268,0.7596417339670715,0.014314078439126734,0.739423076923077,0.019554200893698786,0.806837606837607,0.018984654941231836,0.1702177777777778,0.01954645192141145,0.5,0.0
A5_rf,MediaPipe + RF,test,0.6993333333333334,0.02210077927233438,0.8221688034188034,0.010002162771088577,0.7153093705487508,0.020963133702857753,0.775,0.030301978096210352,0.6294871794871794,0.03485199286940557,0.19853777777777779,0.02701197685892612,0.5,0.0
A5_xgboost,MediaPipe + XGBoost,val,0.7620000000000002,0.018511257835886433,0.8325854700854702,0.0072861367998408085,0.7596354488238545,0.01932630272373698,0.753846153846154,0.026026307655701023,0.7685897435897435,0.01911288655881484,0.19959813352984684,0.013897411325139324,0.5,0.0
A5_xgboost,MediaPipe + XGBoost,test,0.6886666666666665,0.015362291495737231,0.8214743589743592,0.006136423282382227,0.7065759055759054,0.011985637395612127,0.7777777777777779,0.008784104611578854,0.6064102564102564,0.025991198631683712,0.24381709828848636,0.01129778745643854,0.5,0.0
